year,doi,acmid,name,affiliation,note
2023,10.1145/3544548.3580664,99659474177,Andy Bryant,"University of California, Santa Cruz, United States, USA",
2023,10.1145/3544548.3580664,81488646953,Jichen Zhu,"IT University of Copenhagen, Denmark",
2023,10.1145/3544548.3580664,81488653825,Magy Seif El-Nasr,"University of California, Santa Cruz, United States, USA",
2023,10.1145/3544548.3580693,99660781407,Adrien Chaffangeon Caillet,"Univ. Grenoble Alpes, CNRS, Grenoble, France",
2023,10.1145/3544548.3580693,99658641429,Alix Goguey,"Univ. Grenoble Alpes, CNRS, Grenoble, France",
2023,10.1145/3544548.3580693,81100087172,Laurence Nigay,"Univ. Grenoble Alpes, CNRS, Grenoble, France",
2023,10.1145/3544548.3580788,99660780939,Shaomei Wu,"Aimpower.org, Mountain View, CA, USA",
2023,10.1145/3544548.3580817,99660779802,Michael Xieyang Liu,"Microsoft Research, USA & Carnegie Mellon, USA",
2023,10.1145/3544548.3580817,99659349360,Advait Sarkar,"Microsoft Research & University of Cambridge & University College London, UK",
2023,10.1145/3544548.3580817,99660049260,Carina Negreanu,"Microsoft Research, UK",
2023,10.1145/3544548.3580817,81100190820,Benjamin Zorn,"Microsoft Research, USA",
2023,10.1145/3544548.3580817,99659528301,Jack Williams,"Microsoft Research, UK",
2023,10.1145/3544548.3580817,81490686870,Neil Toronto,"Microsoft Research, UK",
2023,10.1145/3544548.3580817,81100037731,Andrew D. Gordon,"Microsoft Research, UK",
2023,10.1145/3544548.3581001,99660639057,Sunnie S. Y. Kim,"Princeton University, Princeton, NJ, USA",
2023,10.1145/3544548.3581001,99659230348,Elizabeth Anne Watkins,"Intel Labs, Santa Clara, CA, USA",
2023,10.1145/3544548.3581001,81550142556,Olga Russakovsky,"Princeton University, Princeton, NJ, USA",
2023,10.1145/3544548.3581001,99660071585,Ruth Fong,"Princeton University, Princeton, NJ, USA",
2023,10.1145/3544548.3581001,81350567841,Andrés Monroy-Hernández,"Princeton University, Princeton, NJ, USA",
2023,10.1145/3544548.3581007,99659702608,Brittany Lewis,"University of Rhode Island, Kingston, RI, USA",
2023,10.1145/3544548.3581007,99660610003,Tina-Marie Ranalli,"Independent Scholar, Providence, RI, USA",
2023,10.1145/3544548.3581007,99660781530,Alexandra Gourley,"University of Rhode Island, Kingston, RI, USA",
2023,10.1145/3544548.3581007,99660779939,Piriyankan Kirupaharan,"University of Rhode Island, Kingston, RI, USA",
2023,10.1145/3544548.3581007,99659899178,Krishna Venkatasubramanian,"University of Rhode Island, Kingston, RI, USA",
2023,10.1145/3544548.3581033,99659233507,Juan F. Maestre,"University of Minnesota, Minneapolis, USA",
2023,10.1145/3544548.3581033,99660780316,Daria V. Groves,"Indiana University Bloomington, United States, USA",
2023,10.1145/3544548.3581033,99659700948,Megan Furness,"Indiana University Bloomington, United States, USA",
2023,10.1145/3544548.3581033,81430642614,Patrick C. Shih,"Indiana University Bloomington, United States, USA",
2023,10.1145/3544548.3581114,99660781702,Jake M L Stein,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581114,99660783239,Vidminas Vizgirda,"University of Edinburgh, Edinburgh, UK",
2023,10.1145/3544548.3581114,81328490974,Max Van Kleek,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581114,87959194057,Reuben Binns,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581114,81453639687,Jun Zhao,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581114,99660782625,Rui Zhao,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581114,99659343595,Naman Goel,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581114,99659526426,George Chalhoub,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581114,99660233629,Wael S Albayaydh,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581114,81100351241,Nigel Shadbolt,"University of Oxford, Oxford, UK",
2023,10.1145/3544548.3581248,99659767674,Zainab Iftikhar,"Brown University, United States, USA",
2023,10.1145/3544548.3581248,99660783764,Yumeng Ma,"Brown University, United States, USA",
2023,10.1145/3544548.3581248,99660782363,Jeff Huang,"Brown University, United States, USA",
2023,10.1145/3544548.3581401,81100164670,Kirsten Ellis,"Monash University, Melbourne, Australia",
2023,10.1145/3544548.3581401,99660779252,Lisa Kruesi,"Monash University, Melbourne, Australia",
2023,10.1145/3544548.3581401,81472656658,Swamy Ananthanarayan,"Monash University, Melbourne, Australia",
2023,10.1145/3544548.3581401,99658965892,Hashini Senaratne,"CSIRO Data 61, Pullenvale, Australia",
2023,10.1145/3544548.3581401,81384616016,Stephen Lindsay,"University of Glasgow, United Kingdom, UK",
2023,10.1145/3544548.3581464,99660783254,Kexue Fu,"Chongqing University, Chongqing, China",
2023,10.1145/3544548.3581464,99660780417,Yixin Chen,"University of Aberdeen, Aberdeen, UK",
